name,val,sci,common,kingdom,phylum,class,order,family,genus
Daurian ground squirrel,0.140946634836394,Spermophilus dauricus,Daurian ground squirrel,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus
Golden Hamster,0.146444341983468,Mesocricetus auratus,Golden Hamster,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus
Fat-tailed dwarf lemur,0.149261085531517,Cheirogaleus medius,Fat-tailed dwarf lemur,Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Cheirogaleus
Yellow-bellied Marmot,0.150629649141058,Marmota flaviventris,Yellow-bellied Marmot,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,Marmota
Indri,0.153950983977651,Indri indri,Indri,Animalia,Chordata,Mammalia,Primates,Indriidae,Indri
Common gundi,0.155586428524866,Ctenodactylus gundi,Common gundi,Animalia,Chordata,Mammalia,Rodentia,Ctenodactylidae,Ctenodactylus
Southern tamandua,0.163686167695169,Tamandua tetradactyla,Southern tamandua,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua
Reindeer,0.164856936494066,Rangifer tarandus,Reindeer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer
Red Muntjac,0.164856936494066,Muntiacus muntjak,Red Muntjac,Metazoa,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
Dama Gazelle,0.165998275660052,Nanger dama,Dama Gazelle,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger
Tibetan antelope,0.166641711165936,Pantholops hodgsonii,Tibetan antelope,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pantholops
aurochs,0.166641711165936,Bos taurus,aurochs,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
Domestic yak,0.166641711165936,Bos grunniens,grunting ox,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
Bos indicus x Bos taurus,0.166641711165936,Bos indicus x Bos taurus,hybrid cattle,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
wild yak,0.166641711165936,Bos mutus,wild yak,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
Bos indicus x Bos taurus,0.166641711165936,Bos indicus x Bos taurus,hybrid cattle,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
aurochs,0.166641711165936,Bos taurus,aurochs,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
aurochs,0.166641711165936,Bos taurus,aurochs,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
wild yak,0.166641711165936,Bos mutus,wild yak,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
water buffalo,0.166641711165936,Bubalus bubalis,water buffalo,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus
Siberian musk deer,0.166641711165936,Moschus moschiferus,Siberian musk deer,Metazoa,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus
Jaguar,0.166672379083198,Panthera onca,Jaguar,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera
Domestic Cat,0.166672379083198,Felis catus,Domestic Cat,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis
Domestic Cat,0.166672379083198,Felis catus,Domestic Cat,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis
Domestic Cat,0.166672379083198,Felis catus,Domestic Cat,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis
Canadian Lynx,0.166672379083198,Lynx canadensis,Canadian Lynx,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Lynx
Spanish lynx,0.166672379083198,Lynx pardinus,Spanish lynx,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Lynx
