name,val,sci,common,kingdom,phylum,class,order,family,genus
Woodland dormouse,0.282425313124693,Graphiurus murinus,Woodland dormouse,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Graphiurus
Pearson's horseshoe bat,0.28319091139292,Rhinolophus pearsonii,Pearson's horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Long-tailed Chinchilla,0.284568704485826,Chinchilla lanigera,Long-tailed Chinchilla,Metazoa,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla
Chinchilla lanigera,0.284568704485826,Chinchilla lanigera,long-tailed chinchilla,Metazoa,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla
Chinese Rufous Horseshoe Bat,0.286402701596119,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Pantagonian mara,0.287235885711324,Dolichotis patagonum,Pantagonian mara,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Dolichotis
Grammomys surdaster,0.287579957981939,Grammomys surdaster,African woodland thicket rat,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Grammomys
Honey badger,0.28991897763314,Mellivora capensis,Honey badger,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mellivora
Asian palm civet,0.290813754916699,Paradoxurus hermaphroditus,Asian palm civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus
Chacoan peccary,0.29416444273061,Catagonus wagneri,Chacoan peccary,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Catagonus
Ermine,0.294207671305811,Mustela erminea,Ermine,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
northern sea otter,0.295865229373177,Enhydra lutris kenyoni,northern sea otter,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra
northern sea otter,0.295865229373177,Enhydra lutris kenyoni,northern sea otter,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra
Central American agouti,0.297721855066399,Dasyprocta punctata,Central American agouti,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta
California Sealion,0.298692626105203,Zalophus californianus,California Sealion,Metazoa,Chordata,Mammalia,Carnivora,Otariidae,Zalophus
American mink,0.298746161353815,Neovison vison,American Mink,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Neovison
Geoffroy's tailless bat,0.298849028632144,Anoura geoffroyi,Geoffroy's tailless bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura
Striped hyena,0.301237158594085,Hyaena hyaena,Striped hyena,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena
Spotted Hyena,0.301237158594085,Crocuta crocuta,Spotted Hyena,Metazoa,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta
North American River Otter,0.302091266280685,Lontra canadensis,North American River Otter,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Lontra
Wahlberg's epauletted fruit bat,0.304148960080012,Epomophorus wahlbergi,Wahlberg's epauletted fruit bat,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus
Fin Whale,0.304346683720651,Balaenoptera physalus,Fin Whale,Metazoa,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera
Straw-colored fruit bat,0.310234417861363,Eidolon helvum,Straw-colored fruit bat,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon
black flying fox,0.310898148512396,Pteropus alecto,black flying fox,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus
large flying fox,0.310898148512396,Pteropus vampyrus,large flying fox,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus
black flying fox,0.310898148512396,Pteropus alecto,black flying fox,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus
Degu,0.311968151877077,Octodon degus,Degu,Metazoa,Chordata,Mammalia,Rodentia,Octodontidae,Octodon
Underwood's long-tongued bat,0.314916088152498,Hylonycteris underwoodi,Underwood's long-tongued bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Hylonycteris
Pearson's horseshoe bat,0.317474898410562,Rhinolophus pearsonii,Pearson's horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Chinese Rufous Horseshoe Bat,0.323065764994985,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Chinese Rufous Horseshoe Bat,0.323787875328613,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Greater bulldog bat,0.325559068619304,Noctilio leporinus,Greater bulldog bat,Animalia,Chordata,Mammalia,Chiroptera,Noctilionidae,Noctilio
Mustela putorius furo,0.328558148334671,Mustela putorius furo,ferret,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
European Mink,0.328558148334671,Mustela lutreola,European Mink,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
Giant otter,0.328775381830866,Pteronura brasiliensis,Giant otter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pteronura
Chinese Rufous Horseshoe Bat,0.329127568388464,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
small-eared galago,0.330164758635965,Otolemur garnettii,small-eared galago,Metazoa,Chordata,Mammalia,Primates,Galagidae,Otolemur
small-eared galago,0.330164758635965,Otolemur garnettii,small-eared galago,Metazoa,Chordata,Mammalia,Primates,Galagidae,Otolemur
Black-footed Ferret,0.333573353055425,Mustela nigripes,Black-footed Ferret,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
Fossa,0.335647576939773,Cryptoprocta ferox,Fossa,Animalia,Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta
Cantor's roundleaf bat,0.336044488539936,Hipposideros galeritus,Cantor's roundleaf bat,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros
Pallas's long-tongued bat,0.33852542804872,Glossophaga soricina,Pallas's long-tongued bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga
Montane guinea pig,0.342247562648281,Cavia tschudii,Montane guinea pig,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia
Domesticated Guinea Pig,0.342247562648281,Cavia porcellus,Domesticated Guinea Pig,Metazoa,Chordata,Mammalia,Rodentia,Caviidae,Cavia
Commissaris's long-tongued bat,0.342837984139957,Glossophaga commissarisi,Commissaris's long-tongued bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga
Sowell's Short-tailed Bat,0.344317000913251,Carollia sowelli,Sowell's Short-tailed Bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia
Southern African Mastomys,0.345580566829361,Mastomys coucha,Southern African Mastomys,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mastomys
greater false vampire bat,0.346953733668613,Megaderma lyra,greater false vampire bat,Metazoa,Chordata,Mammalia,Chiroptera,Megadermatidae,Megaderma
condylure étoilé,0.346953757452884,Condylura cristata,condylure étoilé,Metazoa,Chordata,Mammalia,Eulipotyphla,Talpidae,Condylura
Ryukyu Mouse,0.348121443166356,Mus caroli,Ryukyu Mouse,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
Steppe mouse,0.348121443166356,Mus spicilegus,Steppe mouse,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
Pratt's roundleaf bat,0.348491975421498,Hipposideros pratti,Pratt's roundleaf bat,Metazoa,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros
great roundleaf bat,0.348491975421498,Hipposideros armiger,great roundleaf bat,Metazoa,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros
Bowhead whale,0.349037150985071,Balaena mysticetus,Bowhead whale,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Balaena
Lesser short-nosed fruit bat,0.35110125917415,Cynopterus brachyotis,Lesser short-nosed fruit bat,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus
greater short-nosed fruit bat,0.35110125917415,Cynopterus sphinx,greater short-nosed fruit bat,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus
Algerian mouse,0.35231069544564,Mus spretus,Western Mediterranean Mouse,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
Dassie rat,0.352712331069731,Petromus typicus,Dassie rat,Animalia,Chordata,Mammalia,Rodentia,Petromuridae,Petromus
Chinese pangolin,0.353295183949081,Manis pentadactyla,Chinese pangolin,Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis
Sunda Pangolin,0.353295183949081,Manis javanica,Sunda Pangolin,Metazoa,Chordata,Mammalia,Pholidota,Manidae,Manis
Meadow jumping mouse,0.35359219439402,Zapus hudsonius,Meadow jumping mouse,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus
Indochinese Shrewlike Mouse,0.355126052191546,Mus pahari,Indochinese Shrewlike Mouse,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
Long-tongued fruit bat,0.35738207124949,Macroglossus sobrinus,Long-tongued fruit bat,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Macroglossus
African Arvicanthis,0.358881269343874,Arvicanthis niloticus,African Arvicanthis,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Arvicanthis
Tailed tailless bat,0.360522086552042,Anoura caudifer,Tailed tailless bat,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura
Handley's tailless bat,0.360522086552042,Anoura cultrata,Handley's tailless bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura
Seba's short-tailed bat,0.362720248565959,Carollia perspicillata,Seba's short-tailed bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia
chestnut short-tailed bat,0.362720248565959,Carollia castanea,chestnut short-tailed bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia
Social tudo-tuco,0.364391986933306,Ctenomys sociabilis,Social tudo-tuco,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys
African sheath-tailed bat,0.368370010285951,Coleura afra,African sheath-tailed bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Coleura
Chinese Rufous Horseshoe Bat,0.36858810572301,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Eastern mole,0.369209403010446,Scalopus aquaticus,Eastern mole,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Scalopus
least horseshoe bat,0.369298167900588,Rhinolophus pusillus,least horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Theobald's tomb bat,0.371498496019443,Taphozous theobaldi,Theobald's tomb bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Taphozous
black-bearded tomb bat,0.371498496019443,Taphozous melanopogon,black-bearded tomb bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Taphozous
Cape Elephant Shrew,0.372129990145413,Elephantulus edwardii,Cape Elephant Shrew,Metazoa,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus
Hoffmann's two-toed sloth,0.374404270188518,Choloepus hoffmanni,Hoffmann's two-toed sloth,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus
Javan pipistrelle,0.374638665954189,Pipistrellus javanicus,Javan pipistrelle,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus
Cairo spiny mouse,0.375529454181574,Acomys cahirinus,Cairo spiny mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys
small Asian sheath-tailed bat,0.385166523380452,Emballonura alecto,small Asian sheath-tailed bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura
Coypu,0.386887037026837,Myocastor coypus,Coypu,Animalia,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor
souris commune,0.389835822757175,Mus musculus,souris commune,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
souris commune,0.389835822757175,Mus musculus,souris commune,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
White-bellied pangolin,0.390436776532601,Phataginus tricuspis,White-bellied pangolin,Metazoa,Chordata,Mammalia,Pholidota,Manidae,Phataginus
Sowerby's beaked whale,0.394128051933374,Mesoplodon bidens,Sowerby's beaked whale,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
Cape Golden Mole,0.394684283570553,Chrysochloris asiatica,Cape Golden Mole,Metazoa,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris
Jamaican fruit-eating bat,0.39469721861728,Artibeus jamaicensis,Jamaican fruit-eating bat,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus
Jamaican fruit-eating bat,0.39469721861728,Artibeus jamaicensis,Jamaican fruit-eating bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus
Pygmy Fruit-eating Bat,0.39469721861728,Artibeus phaeotis,Pygmy Fruit-eating Bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus
Artibeus glaucus watsoni,0.39469721861728,Artibeus glaucus watsoni,Thomas's fruit-eating bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus
great fruit-eating bat,0.39469721861728,Artibeus lituratus,great fruit-eating bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus
Salvin's big-eyed bat,0.39469721861728,Chiroderma salvini,Salvin's big-eyed bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Chiroderma
hairy big-eyed bat,0.39469721861728,Chiroderma villosum,hairy big-eyed bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Chiroderma
Heller's broad-nosed bat,0.39469721861728,Platyrrhinus helleri,Heller's broad-nosed bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus
greater broad-nosed bat,0.39469721861728,Platyrrhinus vittatus,greater broad-nosed bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus
tent-making bat,0.39469721861728,Uroderma bilobatum,tent-making bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Uroderma
Red panda,0.396309529068057,Ailurus fulgens styani,Red panda,Metazoa,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus
Common dwarf mongoose,0.397119075905404,Helogale parvula,Common dwarf mongoose,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Helogale
Banded mongoose,0.397119075905404,Mungos mungo,Banded mongoose,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Mungos
Orycteropus afer afer,0.400859447541497,Orycteropus afer afer,Southern Aardvark,Metazoa,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus
long-nosed armadillo,0.402892841954048,Dasypus novemcinctus,long-nosed armadillo,Metazoa,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus
long-nosed armadillo,0.402892841954048,Dasypus novemcinctus,long-nosed armadillo,Metazoa,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus
big-eared horseshoe bat,0.404309832456296,Rhinolophus macrotis,big-eared horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
gray sac-winged bat,0.40583712718761,Balantiopteryx plicata,gray sac-winged bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Balantiopteryx
greater horseshoe bat,0.407072052986631,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
greater horseshoe bat,0.407072052986631,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
greater horseshoe bat,0.407072052986631,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Sturnira hondurensis,0.408018249737894,Sturnira hondurensis,Choco yellow-shouldered bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira
Sturnira parvidens,0.408018249737894,Sturnira parvidens,Northern yellow-shouldered bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira
highland yellow-shouldered bat,0.408018249737894,Sturnira ludovici,highland yellow-shouldered bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira
Stripe-headed round-eared bat,0.408318889097881,Tonatia saurophila,Stripe-headed round-eared bat,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Tonatia
Suricata suricatta,0.411467186732865,Suricata suricatta,Meerkat,Metazoa,Chordata,Mammalia,Carnivora,Herpestidae,Suricata
Meerkat,0.411467186732865,Suricata suricatta,Meerkat,Metazoa,Chordata,Mammalia,Carnivora,Herpestidae,Suricata
David's Myotis,0.414434600092076,Myotis davidii,David's Myotis,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
David's Myotis,0.414434600092076,Myotis davidii,David's Myotis,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
Orange Nectar Bat,0.42166870594339,Lonchophylla robusta,Orange Nectar Bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lonchophylla
Thomas's Shaggy Bat,0.422455517590969,Centronycteris centralis,Thomas's Shaggy Bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Centronycteris
Greater mouse-eared bat,0.424659017440292,Myotis myotis,Greater mouse-eared bat,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
Greater cane rat,0.424856790185209,Thryonomys swinderianus,Greater cane rat,Animalia,Chordata,Mammalia,Rodentia,Thryonomyidae,Thryonomys
Antillean ghost-faced bat,0.426321305846028,Mormoops blainvillei,Antillean ghost-faced bat,Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops
Hispaniolan solenodon,0.427561277253836,Solenodon paradoxus,Hispaniolan solenodon,Animalia,Chordata,Mammalia,Eulipotyphla,Solenodontidae,Solenodon
Fat sand rat,0.430240937091244,Psammomys obesus,Fat sand rat,Animalia,Chordata,Mammalia,Rodentia,Muridae,Psammomys
Mongolian gerbil,0.4319729985109,Meriones unguiculatus,Mongolian gerbil,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones
Brazilian free-tailed bat,0.433950105382888,Tadarida brasiliensis,Brazilian free-tailed bat,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida
rat noir,0.435042490417359,Rattus rattus,rat noir,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
rat surmulot,0.435042490417359,Rattus norvegicus,rat surmulot,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
Domesticated Guinea Pig,0.435722662953516,Cavia porcellus,Domesticated Guinea Pig,Metazoa,Chordata,Mammalia,Rodentia,Caviidae,Cavia
Common big-eared bat,0.441047524426895,Micronycteris microtis,Common Big-eared Bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris
pallid bat,0.44214512997208,Antrozous pallidus,pallid bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous
Schreibers' long-fingered bat,0.442769436207657,Miniopterus schreibersii,Schreibers' long-fingered bat,Animalia,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus
Tasmanian Devil,0.451270153632074,Sarcophilus harrisii,Tasmanian Devil,Metazoa,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus
proboscis bat,0.452632138107567,Rhynchonycteris naso,proboscis bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Rhynchonycteris
Lander's horseshoe bat,0.453808545928074,Rhinolophus landeri,Lander's horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
Velvety free-tailed bat,0.454979371992269,Molossus molossus,Velvety free-tailed bat,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Molossus
Natal Long-fingered Bat,0.455136318699813,Miniopterus natalensis,Natal Long-fingered Bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus
big brown bat,0.45802115551929,Eptesicus fuscus,big brown bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus
big brown bat,0.45802115551929,Eptesicus fuscus,big brown bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus
Brandt's Myotis,0.458410371540843,Myotis brandtii,Brandt's Myotis,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
little brown bat,0.458410371540843,Myotis lucifugus,little brown bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
Brandt's Myotis,0.458410371540843,Myotis brandtii,Brandt's Myotis,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
little brown bat,0.458410371540843,Myotis lucifugus,little brown bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
Cape hairy bat,0.458410371540843,Myotis tricolor,Cape hairy bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
little brown bat,0.458410371540843,Myotis lucifugus,little brown bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
Brazilian brown bat,0.46067741159815,Eptesicus brasiliensis,Brazilian brown bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus
Little tube-nosed bat,0.463755339172867,Murina feae,Little tube-nosed bat,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Murina
Halcyon horseshoe bat,0.470470567078063,Rhinolophus alcyone,Halcyon horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
greater bamboo bat,0.477954638409162,Tylonycteris robustula,greater bamboo bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Tylonycteris
hairy-legged myotis,0.479418676190486,Myotis keaysi,hairy-legged myotis,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
African yellow bat,0.486481595878406,Scotophilus dinganii,African yellow bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus
Gracile shrew mole,0.488543940464282,Uropsilus gracilis,Gracile shrew mole,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Uropsilus
Gray Short-tailed Opossum,0.488558510579092,Monodelphis domestica,Gray Short-tailed Opossum,Metazoa,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis
greater spear-nosed bat,0.489385736597621,Phyllostomus hastatus,greater spear-nosed bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus
Koala,0.491375748793411,Phascolarctos cinereus,Koala,Metazoa,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos
Koala,0.491375748793411,Phascolarctos cinereus,Koala,Metazoa,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos
Common Wombat,0.491375748793411,Vombatus ursinus,Common Wombat,Metazoa,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus
Common Wombat,0.491375748793411,Vombatus ursinus,Common Wombat,Metazoa,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus
riparian myotis,0.497629480005338,Myotis riparius,riparian myotis,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
clear-winged woolly bat,0.498048680574512,Kerivoula pellucida,clear-winged woolly bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Kerivoula
greater sac-winged bat,0.501092004674143,Saccopteryx bilineata,greater sac-winged bat,Metazoa,Chordata,Mammalia,Chiroptera,Emballonuridae,Saccopteryx
Hairy big-eared bat,0.51889221953757,Micronycteris hirsuta,Hairy big-eared bat,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris
vampire bat,0.520466896047127,Desmodus rotundus,vampire bat,Metazoa,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus
lesser Asiatic yellow bat,0.522394946834802,Scotophilus kuhlii,lesser Asiatic yellow bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus
Aeorestes cinereus,0.523160283960856,Aeorestes cinereus,hoary bat,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes
duck-billed platypus,0.52551290355625,Ornithorhynchus anatinus,duck-billed platypus,Metazoa,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus
duck-billed platypus,0.52551290355625,Ornithorhynchus anatinus,duck-billed platypus,Metazoa,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus
Tupaia chinensis,0.526751486274115,Tupaia chinensis,Chinese tree shrew,Metazoa,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia
Cuervo americano,0.530846904516026,Corvus brachyrhynchos,Cuervo americano,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Corvus
Banana Pipistrelle,0.534222868089455,Neoromicia nanus,Banana Pipistrelle,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Neoromicia
Lesser Hedgehog Tenrec,0.535595498497187,Echinops telfairi,Lesser Hedgehog Tenrec,Metazoa,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops
Common Cuckoo,0.561726142394533,Cuculus canorus,Common Cuckoo,Metazoa,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus
West European Hedgehog,0.566901691585926,Erinaceus europaeus,West European Hedgehog,Metazoa,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus
Parnell's mustached bat,0.569213147241974,Pteronotus parnellii,Parnell's mustached bat,Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus
Kuhl's pipistrelle,0.572178722045069,Pipistrellus kuhlii,Kuhl's pipistrelle,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus
Common pipistrelle,0.572819204659423,Pipistrellus pipistrellus,Common pipistrelle,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus
Reeves's muntjac,0.578065362601503,Muntiacus reevesi,Reeves's muntjac,Metazoa,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
Talazac's shrew tenrec,0.580252352327188,Microgale talazaci,Talazac's shrew tenrec,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale
Common Canary,0.59040424380558,Serinus canaria,Common Canary,Metazoa,Chordata,Aves,Passeriformes,Fringillidae,Serinus
Common Shrew,0.598063595397171,Sorex araneus,Common Shrew,Metazoa,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex
Phoenicopterus ruber ruber,0.608962952332433,Phoenicopterus ruber ruber,Caribbean flamingo,Metazoa,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus
Gekko japonicus,0.611626316532407,Gekko japonicus,Schlegel's Japanese gecko,Metazoa,Chordata,Lepidosauria,Squamata,Gekkonidae,Gekko
New Caledonian Crow,0.614058570967712,Corvus moneduloides,New Caledonian Crow,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Corvus
Little Egret,0.615114593152407,Egretta garzetta,Little Egret,Metazoa,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta
Tuatara,0.616666843646759,Sphenodon punctatus,Tuatara,Metazoa,Chordata,Lepidosauria,Rhynchocephalia,Sphenodontidae,Sphenodon
